datetime,total_lmp_day_ahead,total_lmp_real_time,congestion_price_day_ahead,congestion_price_real_time,marginal_loss_price_day_ahead,marginal_loss_price_real_time,rt_da_spread,congestion_share_da,congestion_share_rt,da_price_spike,rt_price_spike,load_mw,temperature_2m,hour,dayofweek,month,is_weekend,sin_hour,cos_hour
2024-01-01 00:00:00,19.695037,31.308987,0.401594,0.41862,-0.106557,-0.244633,11.613949999999999,0.020390619220466557,0.013370601865847657,0,0,13510.539,-0.4,17,5,10,1,-0.9659258262890683,-0.25881904510252063
2024-01-01 01:00:00,19.517617,19.872421,0.482113,0.289292,-0.114496,-0.141871,0.3548039999999979,0.024701427433482272,0.01455746131787365,0,0,13392.585,-0.6,9,5,4,1,0.7071067811865476,-0.7071067811865475
2024-01-01 02:00:00,19.230987,17.341847,0.580922,0.332354,-0.129935,-0.107174,-1.8891399999999976,0.03020760192911576,0.019164855969493903,0,0,13317.742000000002,-0.6,1,5,10,1,0.25881904510252074,0.9659258262890683
2024-01-01 03:00:00,19.318076,19.600685,0.61801,0.422335,-0.159934,-0.08415,0.2826089999999972,0.031991281119299865,0.021546951037680572,0,0,13242.742,-0.6,17,4,3,0,-0.9659258262890683,-0.25881904510252063
2024-01-01 04:00:00,20.054035,16.940858,0.589824,0.134794,-0.135789,-0.091435,-3.1131770000000003,0.029411736839992552,0.007956739853435995,0,0,13392.618999999999,-0.4,9,4,9,0,0.7071067811865476,-0.7071067811865475
2024-01-01 05:00:00,22.244896,19.856325,1.146535,0.771179,-0.101639,-0.090688,-2.3885710000000024,0.051541486190809796,0.03883795213867622,0,0,13627.642,-0.3,0,4,2,0,0.0,1.0
2024-01-01 06:00:00,23.866038,16.797118,1.027319,0.447718,-0.161281,-0.108099,-7.0689199999999985,0.043045226023691076,0.0266544534604091,0,0,13913.028,-0.2,17,3,8,0,-0.9659258262890683,-0.25881904510252063
2024-01-01 07:00:00,26.171232,17.696155,1.24577,1.323363,-0.274538,-0.083041,-8.475076999999999,0.04760073962127576,0.07478251631498481,0,0,14168.748,0.1,8,3,1,0,0.8660254037844387,-0.4999999999999998
2024-01-01 08:00:00,26.29954,19.931985,1.102909,1.490565,-0.353369,-0.097747,-6.367554999999999,0.04193643691106384,0.07478256681409302,0,0,14395.677,0.5,1,3,7,0,0.25881904510252074,0.9659258262890683
2024-01-01 09:00:00,24.927751,21.397754,0.242908,1.791969,-0.195157,-0.065048,-3.5299970000000016,0.009744481160775394,0.08374565853967664,0,0,14644.527999999998,0.3,16,2,12,0,-0.8660254037844384,-0.5000000000000004
