month,avg_load_mw
1,17506.529514784947
2,15899.610819444444
3,14300.037312920593
4,13652.76933263889
5,13938.00739516129
6,15695.767616666668
7,16304.8674905914
8,16021.707291666666
9,14273.431391666667
10,13291.874745967743
11,13996.230030555555
12,16023.848409946237
