datetime,hour,total_lmp_day_ahead,total_lmp_real_time,rt_da_spread,load_mw,pred_next_hour_da_lmp,pred_spread,spread_signal,signal_direction
2025-01-25 02:00:00,2,67.248694,66.799678,-0.4490160000000003,18671.343,67.24809,-0.0006013486328129147,-0.4490160000000003,Neutral
2025-01-25 03:00:00,3,68.338441,52.949644,-15.388797000000004,18786.979,69.21872,0.8802784824218719,-15.388797000000004,Neutral
2025-01-25 04:00:00,4,68.117745,52.661607,-15.456138000000003,19066.331,71.928986,3.8112405957031257,-15.456138000000003,Neutral
2025-01-25 05:00:00,5,73.355788,73.958804,0.6030159999999967,19366.605,83.45871,10.102921716796871,0.6030159999999967,Neutral
2025-01-25 06:00:00,6,87.484376,67.687288,-19.797088000000002,19662.431,98.75794,11.273566199707034,-19.797088000000002,Neutral
2025-01-25 07:00:00,7,101.498152,171.384319,69.886167,20029.739,78.49299,-23.005163413574223,69.886167,RT premium / potential DA hedge
2025-01-25 08:00:00,8,86.600361,59.803606,-26.796755000000005,20171.968,80.14428,-6.456081520019538,-26.796755000000005,DA premium / potential RT hedge
2025-01-25 09:00:00,9,61.849718,44.918477,-16.931241,19498.028,50.330666,-11.519052411621097,-16.931241,Neutral
2025-01-25 10:00:00,10,42.176678,27.263672,-14.913006000000003,18733.648,47.91684,5.7401615996093724,-14.913006000000003,Neutral
2025-01-25 11:00:00,11,38.81304,30.704015,-8.109025000000003,17968.394,42.79951,3.986470955810546,-8.109025000000003,Neutral
2025-01-25 12:00:00,12,33.953744,29.016927,-4.936817000000001,17326.95,39.744946,5.7912015261230465,-4.936817000000001,Neutral
2025-01-25 13:00:00,13,33.024763,23.613912,-9.410851000000001,16819.978,35.80565,2.7808858037109374,-9.410851000000001,Neutral
2025-01-25 14:00:00,14,32.250175,21.873014,-10.377160999999997,16340.76,33.312817,1.0626416198730482,-10.377160999999997,Neutral
2025-01-25 15:00:00,15,33.543089,26.876953,-6.666136000000002,16289.819,38.97797,5.434881123291014,-6.666136000000002,Neutral
2025-01-25 16:00:00,16,37.118367,31.365623,-5.752744,16486.175000000003,51.404552,14.286185459716798,-5.752744,Neutral
2025-01-25 17:00:00,17,45.629966,36.293854,-9.336112,17066.665,52.692345,7.062378665527341,-9.336112,Neutral
2025-01-25 18:00:00,18,45.135451,33.355245,-11.780206000000007,17666.711,47.457436,2.321984607910153,-11.780206000000007,Neutral
2025-01-25 19:00:00,19,44.585808,37.659316,-6.926492000000003,17712.326,41.662205,-2.9236032575683595,-6.926492000000003,Neutral
2025-01-25 20:00:00,20,42.221252,36.686476,-5.534776000000001,17621.371,42.285713,0.06446119580078147,-5.534776000000001,Neutral
2025-01-25 21:00:00,21,39.685232,36.695942,-2.989289999999997,17377.977,37.67934,-2.005891637451171,-2.989289999999997,Neutral
2025-01-25 22:00:00,22,38.636134,31.033102,-7.603031999999999,16964.034,36.84966,-1.7864750339355453,-7.603031999999999,Neutral
2025-01-25 23:00:00,23,38.059411,32.329743,-5.729667999999997,16530.16,39.656277,1.5968657028808622,-5.729667999999997,Neutral
2025-01-26 00:00:00,0,36.97044,33.149692,-3.820748000000002,16302.891,39.32871,2.358268648681637,-3.820748000000002,Neutral
2025-01-26 01:00:00,1,33.61126,30.985018,-2.6262420000000013,16043.969,39.12374,5.512481149902342,-2.6262420000000013,Neutral
2025-01-26 02:00:00,2,33.139698,34.266684,1.1269859999999952,16063.037,32.739594,-0.40010449414062776,1.1269859999999952,Neutral
2025-01-26 03:00:00,3,33.661447,37.795718,4.134270999999998,16138.45,35.12253,1.461084890869138,4.134270999999998,Neutral
2025-01-26 04:00:00,4,33.831397,34.247251,0.41585399999999595,16178.212,36.51146,2.680062350585935,0.41585399999999595,Neutral
2025-01-26 05:00:00,5,35.524346,44.887328,9.362981999999995,16268.828,44.25582,8.731475228027342,9.362981999999995,Neutral
2025-01-26 06:00:00,6,39.177393,38.888103,-0.28929000000000116,16556.248,57.591827,18.414434392578123,-0.28929000000000116,Neutral
2025-01-26 07:00:00,7,42.908246,42.842291,-0.06595499999999532,16954.496,42.296124,-0.6121224953613265,-0.06595499999999532,Neutral
2025-01-26 08:00:00,8,42.276762,47.535319,5.258557000000003,17330.076,43.343204,1.0664424982910177,5.258557000000003,Neutral
2025-01-26 09:00:00,9,34.864873,37.472688,2.607814999999995,17190.272,41.581837,6.71696370043945,2.607814999999995,Neutral
2025-01-26 10:00:00,10,34.892103,34.789304,-0.10279899999999742,16826.064,35.152313,0.26021023242187624,-0.10279899999999742,Neutral
2025-01-26 11:00:00,11,33.504511,31.873338,-1.6311730000000004,16380.025,35.87059,2.3660792099609367,-1.6311730000000004,Neutral
2025-01-26 12:00:00,12,33.722588,32.353928,-1.3686599999999984,16115.565,33.058743,-0.6638454768066424,-1.3686599999999984,Neutral
2025-01-26 13:00:00,13,32.48793,28.565352,-3.922577999999998,15782.576,32.185562,-0.30236786621093614,-3.922577999999998,Neutral
2025-01-26 14:00:00,14,31.662372,27.499649,-4.162723,15610.911,32.092422,0.4300504853515612,-4.162723,Neutral
2025-01-26 15:00:00,15,33.542771,26.392406,-7.150365000000001,15589.104,36.846367,3.303595882324217,-7.150365000000001,Neutral
2025-01-26 16:00:00,16,35.915624,38.40819,2.4925659999999965,15939.345,49.285145,13.369520805908202,2.4925659999999965,Neutral
2025-01-26 17:00:00,17,47.298734,49.387269,2.0885350000000003,16598.516,42.737747,-4.560986807617191,2.0885350000000003,Neutral
2025-01-26 18:00:00,18,47.855615,46.774837,-1.0807780000000022,17325.087,44.943558,-2.9120572607421877,-1.0807780000000022,Neutral
2025-01-26 19:00:00,19,45.625187,98.312352,52.68716500000001,17533.156,45.799213,0.1740264094238313,52.68716500000001,RT premium / potential DA hedge
2025-01-26 20:00:00,20,44.138837,48.63913,4.500292999999999,17432.642,42.920033,-1.2188044987792992,4.500292999999999,Neutral
2025-01-26 21:00:00,21,42.686885,41.069607,-1.6172779999999989,17047.732,40.86892,-1.8179656274414029,-1.6172779999999989,Neutral
2025-01-26 22:00:00,22,40.596042,41.019796,0.4237540000000024,16729.487,40.237423,-0.3586190568847627,0.4237540000000024,Neutral
2025-01-26 23:00:00,23,37.658414,37.008374,-0.6500399999999971,16225.354,37.20686,-0.4515544113769536,-0.6500399999999971,Neutral
2025-01-27 00:00:00,0,35.799242,34.69827,-1.1009719999999987,16025.178,36.266354,0.4671116071777348,-1.1009719999999987,Neutral
2025-01-27 01:00:00,1,34.25104,32.545992,-1.705048000000005,16002.128,35.94462,1.693578225097653,-1.705048000000005,Neutral
2025-01-27 02:00:00,2,33.806016,32.058298,-1.747717999999999,16174.304,35.464638,1.6586217563476566,-1.747717999999999,Neutral
2025-01-27 03:00:00,3,33.992778,33.761165,-0.23161300000000296,16363.196,37.203876,3.211098495361327,-0.23161300000000296,Neutral
2025-01-27 04:00:00,4,35.552527,34.973026,-0.5795010000000005,16744.34,43.36956,7.817033241699221,-0.5795010000000005,Neutral
2025-01-27 05:00:00,5,38.781974,34.128554,-4.653419999999997,17598.411,59.25978,20.477806883789064,-4.653419999999997,Neutral
2025-01-27 06:00:00,6,57.304922,63.575497,6.270575000000001,18791.387,76.21315,18.908228024414065,6.270575000000001,Neutral
2025-01-27 07:00:00,7,70.558691,64.661006,-5.897684999999996,19679.389,58.414783,-12.143907522216793,-5.897684999999996,Neutral
2025-01-27 08:00:00,8,46.472918,47.616716,1.1437979999999968,19608.914,52.59965,6.126733336669922,1.1437979999999968,Neutral
2025-01-27 09:00:00,9,38.062941,27.062976,-10.999965000000003,18920.108,45.657047,7.5941062717285135,-10.999965000000003,Neutral
2025-01-27 10:00:00,10,33.61146,26.086631,-7.524829,18304.096,42.453426,8.841966361083983,-7.524829,Neutral
