feature,importance
lag_1,0.8701387763826083
load_ramp_1,0.11991750604361948
rolling_mean_24,0.002265176196035509
cos_hour,0.0017007192526974193
rolling_std_24,0.0009643237537936909
lag_24,0.0008489760994048677
lag_168,0.0008374633481060221
temperature_2m,0.0007212288476590702
sin_hour,0.0006522019018487087
temp_sq,0.0006394487746221281
month,0.0005933603135520768
dayofweek,0.0005090258095877615
is_peak_hour,0.00013596067451352435
is_weekend,7.583260195144189e-05
