datetime,total_lmp_day_ahead,total_lmp_real_time,congestion_price_day_ahead,congestion_price_real_time,marginal_loss_price_day_ahead,marginal_loss_price_real_time,rt_da_spread,congestion_share_da,congestion_share_rt,da_price_spike,rt_price_spike,load_mw,temperature_2m,hour,dayofweek,month,is_weekend,sin_hour,cos_hour,load_mw_lag_1,load_mw_lag_24,load_mw_lag_168,total_lmp_day_ahead_lag_1,total_lmp_day_ahead_lag_24,total_lmp_day_ahead_lag_168,load_mw_rolling_mean_24,load_mw_rolling_std_24,da_lmp_rolling_mean_24,da_lmp_rolling_std_24,congestion_share_da_lag_1,target_da_lmp_next_hour,target_da_spike_next_hour
2024-01-08 00:00:00,23.131838,22.536493,0.049338,0.207247,-0.2775,-0.101588,-0.5953449999999982,0.0021329044410565213,0.009196062581698049,0,0,14619.841,-0.3,0,0,1,0,0.0,1.0,14832.815,14200.251,13510.539,25.542823,25.586802,19.695037,15147.77575,846.766288001452,26.017350874999995,3.667765472595095,-0.00029867489587975457,22.620641,0.0
2024-01-08 01:00:00,22.620641,24.74406,0.123357,0.33223,-0.312716,-0.034837,2.123419000000002,0.005453293741764435,0.013426656741052196,0,0,14607.27,-1.9,1,0,1,0,0.25881904510252074,0.9659258262890683,14619.841,14030.158,13392.585,23.131838,23.278202,19.517617,15165.258666666668,830.5283457402091,25.915060708333332,3.7142339339264265,0.0021329044410565213,22.833581,0.0
2024-01-08 02:00:00,22.833581,23.693154,0.196217,0.207137,-0.252636,-0.03065,0.859573000000001,0.008593352045831094,0.008742483166234431,0,0,14440.042,-2.5,2,0,1,0,0.49999999999999994,0.8660254037844387,14607.27,13933.807,13317.742000000002,22.620641,22.942348,19.230987,15189.305,804.1711655874378,25.887662333333328,3.736886850856994,0.005453293741764435,22.718871,0.0
2024-01-08 03:00:00,22.718871,23.639709,0.198969,0.19787,-0.200098,-0.03066,0.9208379999999998,0.00875787357567196,0.008370238398450674,0,0,14471.726,-3.3,3,0,1,0,0.7071067811865475,0.7071067811865476,14440.042,13853.914,13242.742,22.833581,22.063114,19.318076,15210.398125,775.9521724100899,25.883130375000004,3.7406781533011646,0.008593352045831094,22.872835,0.0
2024-01-08 04:00:00,22.872835,22.384652,0.158972,0.333103,-0.186137,-0.073451,-0.48818299999999937,0.006950253433822262,0.014880865693154399,0,0,14944.086,-2.0,4,0,1,0,0.8660254037844386,0.5000000000000001,14471.726,13911.892,13392.619,22.718871,22.007195,20.054035,15236.140291666668,738.3302049767998,25.910453583333332,3.7138610810415424,0.00875787357567196,25.846736,0.0
2024-01-08 05:00:00,25.846736,24.960661,0.258273,0.230337,-0.211537,-0.09301,-0.8860749999999982,0.00999248028842017,0.009228000812959238,0,0,15788.646,-2.4,5,0,1,0,0.9659258262890683,0.25881904510252074,14944.086,14118.318,13627.642,22.872835,22.576118,22.244896,15279.148374999999,686.0502514265388,25.946521916666665,3.6783387783470363,0.006950253433822262,38.25852,0.0
2024-01-08 06:00:00,38.25852,44.351453,1.101095,0.938978,-0.292575,-0.310858,6.092933000000002,0.028780386695564805,0.021171301873695095,0,0,17071.605,-1.8,6,0,1,0,1.0,6.123233995736766e-17,15788.646,14485.42,13913.028,25.846736,22.77772,23.866038,15348.745374999999,646.7680400212581,26.082797666666664,3.6079542596726784,0.00999248028842017,51.397253,0.0
2024-01-08 07:00:00,51.397253,60.252775,1.668189,2.270387,-0.820936,-0.603446,8.855522,0.032456773516670236,0.03768103626762419,0,0,18012.011,-1.2,7,0,1,0,0.9659258262890683,-0.25881904510252063,17071.605,14790.355,14168.748,38.25852,23.821426,26.171232,15456.503083333335,709.1126684271123,26.727831,4.307413854126294,0.028780386695564805,31.829005,0.0
2024-01-08 08:00:00,31.829005,43.366757,0.350417,0.741128,-0.491412,-0.511872,11.537752000000001,0.011009360801570769,0.017089772241904094,0,0,18005.8,-1.0,8,0,1,0,0.8660254037844387,-0.49999999999999983,18012.011,15055.359,14395.677,51.397253,25.857263,26.29954,15590.738750000002,865.2655828109393,27.876823791666666,6.577915917771831,0.032456773516670236,27.643177,0.0
2024-01-08 09:00:00,27.643177,25.616193,0.144979,1.136979,-0.521802,-0.235787,-2.0269840000000023,0.005244657660007748,0.044385166835680855,0,0,17602.262000000002,-1.0,9,0,1,0,0.7071067811865476,-0.7071067811865475,18005.8,15267.53,14644.527999999998,31.829005,25.665913,24.927751,15713.673791666668,986.9346689890051,28.125646375,6.61106350758423,0.011009360801570769,26.671136,0.0
