,count,mean,std,min,25%,50%,75%,max
load_mw,11662.0,15142.949998370777,2339.0228026955233,10047.126,13490.5485,14771.445,16582.71125,23725.561
temperature_2m,11662.0,10.878279883381925,10.720999849594959,-20.0,2.5,11.1,19.6,35.0
