model,threshold,accuracy,precision,recall,f1,pr_auc,tn,fp,fn,tp
Default XGBoost @ 0.50,0.5,0.9417391304347826,0.728,0.47643979057591623,0.5759493670886077,0.6675859204268828,2075,34,100,91
Default XGBoost @ tuned threshold,0.44000000000000006,0.9417391304347826,0.7111111111111111,0.5026178010471204,0.588957055214724,0.6675859204268828,2070,39,95,96
Weighted XGBoost @ 0.50,0.5,0.9347826086956522,0.615819209039548,0.5706806282722513,0.592391304347826,0.6813378342365063,2041,68,82,109
Weighted XGBoost @ tuned threshold,0.7900000000000001,0.9456521739130435,0.7704918032786885,0.49214659685863876,0.6006389776357828,0.6813378342365063,2081,28,97,94
