feature,importance
lag_1,0.8724063
load_ramp_1,0.09432003
rolling_mean_24,0.00642971
cos_hour,0.004887718
dayofweek,0.004710873
is_peak_hour,0.00435631
temperature_2m,0.0037242498
month,0.002557857
sin_hour,0.002055408
temp_sq,0.0014689496
rolling_std_24,0.0013921981
lag_24,0.0012796624
lag_168,0.00041066098
is_weekend,0.0
