hour,total_lmp_day_ahead
0,39.00071531578947
1,37.34726234736842
2,35.96251096842105
3,36.158664531250004
4,37.39737015625
5,41.38835890625
6,58.590034260416665
7,65.73187628125
8,47.33495383333334
9,40.89337440625
10,39.59607430208333
11,37.8713774375
12,36.54119921875
13,35.58399497916667
14,34.40568013541667
15,34.61265226041667
16,37.257845458333335
17,45.107055770833334
18,54.255732375
19,62.43673795833333
20,60.26641301041667
21,49.63262995833333
22,43.78868405208333
23,39.57792946315789
